"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","IMMIGINFLOW","WORK","NBR","A","2004",1478,
"AUT","IMMIGINFLOW","WORK","NBR","A","2005",1514,
"AUT","IMMIGINFLOW","WORK","NBR","A","2006",582,
"AUT","IMMIGINFLOW","WORK","NBR","A","2007",737,
"AUT","IMMIGINFLOW","WORK","NBR","A","2008",847,
"AUT","IMMIGINFLOW","WORK","NBR","A","2009",556,
"AUT","IMMIGINFLOW","WORK","NBR","A","2010",638,
"AUT","IMMIGINFLOW","WORK","NBR","A","2011",1016,
"AUT","IMMIGINFLOW","WORK","NBR","A","2012",4841,
"AUT","IMMIGINFLOW","WORK","NBR","A","2013",4673,
"AUT","IMMIGINFLOW","WORK","NBR","A","2014",4895,
"AUT","IMMIGINFLOW","WORK","NBR","A","2015",5311,
"AUT","IMMIGINFLOW","WORK","NBR","A","2016",5121,
"AUT","IMMIGINFLOW","WORK","NBR","A","2017",5024,
"AUT","IMMIGINFLOW","WORK","NBR","A","2018",5590,
"AUT","IMMIGINFLOW","WORK","NBR","A","2019",6055,
"BEL","IMMIGINFLOW","FAM","NBR","A","2005",20320,
"BEL","IMMIGINFLOW","FAM","NBR","A","2006",20320,
"BEL","IMMIGINFLOW","FAM","NBR","A","2007",20320,
"BEL","IMMIGINFLOW","FAM","NBR","A","2008",20320,
"BEL","IMMIGINFLOW","FAM","NBR","A","2009",28523,
"BEL","IMMIGINFLOW","FAM","NBR","A","2010",28667,
"BEL","IMMIGINFLOW","FAM","NBR","A","2011",25509,
"BEL","IMMIGINFLOW","FAM","NBR","A","2012",25060,
"BEL","IMMIGINFLOW","FAM","NBR","A","2013",22266,
"BEL","IMMIGINFLOW","FAM","NBR","A","2014",23114,
"BEL","IMMIGINFLOW","FAM","NBR","A","2015",26206,
"BEL","IMMIGINFLOW","FAM","NBR","A","2016",26325,
"BEL","IMMIGINFLOW","FAM","NBR","A","2017",28653,
"BEL","IMMIGINFLOW","FAM","NBR","A","2018",29551,
"BEL","IMMIGINFLOW","FAM","NBR","A","2019",32261,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2000",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2001",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2002",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2003",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2004",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2005",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2006",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2007",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2008",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2009",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2010",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2011",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2012",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2013",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2014",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2015",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2016",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2018",0,
"BEL","IMMIGINFLOW","FAMWORKR","NBR","A","2019",0,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2005",14752.47,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2006",15656.79,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2007",57973,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2008",64998.626,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2009",59282.658,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2010",60881,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2011",61399,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2012",64838,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2013",63930,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2014",64416,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2015",61840,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2016",58855,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2017",60151,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2018",63924,
"BEL","IMMIGINFLOW","FREEMOVS","NBR","A","2019",69022,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2005",3059,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2006",1922,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2007",2122,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2008",3505,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2009",2905,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2010",3510,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2011",5075,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2012",5555,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2013",6313,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2014",8139,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2015",10800,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2016",15478,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2017",13833,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2018",10483,
"BEL","IMMIGINFLOW","HUMNTRN","NBR","A","2019",6719,
"BEL","IMMIGINFLOW","OTH","NBR","A","2005",0,
"BEL","IMMIGINFLOW","OTH","NBR","A","2006",0,
"BEL","IMMIGINFLOW","OTH","NBR","A","2008",3053,
"BEL","IMMIGINFLOW","OTH","NBR","A","2009",10866,
"BEL","IMMIGINFLOW","OTH","NBR","A","2010",21703,
"BEL","IMMIGINFLOW","OTH","NBR","A","2011",6193,
"BEL","IMMIGINFLOW","OTH","NBR","A","2012",1855,
"BEL","IMMIGINFLOW","OTH","NBR","A","2013",736,
"BEL","IMMIGINFLOW","OTH","NBR","A","2014",809.265,
"BEL","IMMIGINFLOW","OTH","NBR","A","2015",294.784,
"BEL","IMMIGINFLOW","OTH","NBR","A","2016",114.302,
"BEL","IMMIGINFLOW","OTH","NBR","A","2017",107.38,
"BEL","IMMIGINFLOW","OTH","NBR","A","2018",129.375,
"BEL","IMMIGINFLOW","OTH","NBR","A","2019",106,
"BEL","IMMIGINFLOW","WORK","NBR","A","2005",3556,
"BEL","IMMIGINFLOW","WORK","NBR","A","2006",4635,
"BEL","IMMIGINFLOW","WORK","NBR","A","2007",2700.156,
"BEL","IMMIGINFLOW","WORK","NBR","A","2008",3035,
"BEL","IMMIGINFLOW","WORK","NBR","A","2009",3041,
"BEL","IMMIGINFLOW","WORK","NBR","A","2010",2232,
"BEL","IMMIGINFLOW","WORK","NBR","A","2011",2767,
"BEL","IMMIGINFLOW","WORK","NBR","A","2012",2770,
"BEL","IMMIGINFLOW","WORK","NBR","A","2013",2372,
"BEL","IMMIGINFLOW","WORK","NBR","A","2014",4001,
"BEL","IMMIGINFLOW","WORK","NBR","A","2015",4654,
"BEL","IMMIGINFLOW","WORK","NBR","A","2016",5384,
"BEL","IMMIGINFLOW","WORK","NBR","A","2017",4932,
"BEL","IMMIGINFLOW","WORK","NBR","A","2018",5035.648,
"BEL","IMMIGINFLOW","WORK","NBR","A","2019",5069.645,
"CAN","IMMIGINFLOW","FAM","NBR","A","1995",77386,
"CAN","IMMIGINFLOW","FAM","NBR","A","1996",68359,
"CAN","IMMIGINFLOW","FAM","NBR","A","1997",59979,
"CAN","IMMIGINFLOW","FAM","NBR","A","1998",50896,
"CAN","IMMIGINFLOW","FAM","NBR","A","1999",55274,
"CAN","IMMIGINFLOW","FAM","NBR","A","2000",60623,
"CAN","IMMIGINFLOW","FAM","NBR","A","2001",66814,
"CAN","IMMIGINFLOW","FAM","NBR","A","2002",65338,
"CAN","IMMIGINFLOW","FAM","NBR","A","2003",70732,
"CAN","IMMIGINFLOW","FAM","NBR","A","2004",63554,
"CAN","IMMIGINFLOW","FAM","NBR","A","2005",64008,
"CAN","IMMIGINFLOW","FAM","NBR","A","2006",71288,
"CAN","IMMIGINFLOW","FAM","NBR","A","2007",67081,
"CAN","IMMIGINFLOW","FAM","NBR","A","2008",66420,
"CAN","IMMIGINFLOW","FAM","NBR","A","2009",66063,
"CAN","IMMIGINFLOW","FAM","NBR","A","2010",60743,
"CAN","IMMIGINFLOW","FAM","NBR","A","2011",56989,
"CAN","IMMIGINFLOW","FAM","NBR","A","2012",65497,
"CAN","IMMIGINFLOW","FAM","NBR","A","2013",83379,
"CAN","IMMIGINFLOW","FAM","NBR","A","2014",67714,
"CAN","IMMIGINFLOW","FAM","NBR","A","2015",69499,
"CAN","IMMIGINFLOW","FAM","NBR","A","2016",78006,
"CAN","IMMIGINFLOW","FAM","NBR","A","2017",82467,
"CAN","IMMIGINFLOW","FAM","NBR","A","2018",85167,
"CAN","IMMIGINFLOW","FAM","NBR","A","2019",91310,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","1995",62896,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","1996",73972,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","1997",75943,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","1998",56158,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","1999",61955,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2000",78214,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2001",90452,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2002",79818,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2003",70368,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2004",78798,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2005",94768,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2006",82630,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2007",77485,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2008",87842,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2009",89567,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2010",110446,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2011",91802,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2012",92583,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2013",83483,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2014",86970,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2015",93710,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2016",86299,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2017",78353,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2018",90502,
"CAN","IMMIGINFLOW","FAMWORKR","NBR","A","2019",93330,
"CAN","IMMIGINFLOW","FREEMOVS","NBR","A","1995",0,
"CAN","IMMIGINFLOW","FREEMOVS","NBR","A","1996",0,
"CAN","IMMIGINFLOW","FREEMOVS","NBR","A","1997",0,
"CAN","IMMIGINFLOW","FREEMOVS","NBR","A","1998",0,
"CAN","IMMIGINFLOW","FREEMOVS","NBR","A","1999",0,
"CAN","IMMIGINFLOW","FREEMOVS","NBR","A","2000",0,
"CAN","IMMIGINFLOW","FREEMOVS","NBR","A","2001",0,
"CAN","IMMIGINFLOW","FREEMOVS","NBR","A","2002",0,
"CAN","IMMIGINFLOW","FREEMOVS","NBR","A","2003",0,
"CAN","IMMIGINFLOW","FREEMOVS","NBR","A","2004",0,
"CAN","IMMIGINFLOW","FREEMOVS","NBR","A","2005",0,
"CAN","IMMIGINFLOW","FREEMOVS","NBR","A","2006",0,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","1995",28544,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","1996",32195,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","1997",27662,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","1998",25382,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","1999",25420,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2000",30555,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2001",28125,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2002",25118,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2003",26072,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2004",32748,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2005",35796,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2006",32524,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2007",27970,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2008",21862,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2009",22861,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2010",24699,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2011",27880,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2012",23098,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2013",24139,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2014",24068,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2015",32111,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2016",58914,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2017",41477,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2018",45493,
"CAN","IMMIGINFLOW","HUMNTRN","NBR","A","2019",48533,
"CAN","IMMIGINFLOW","OTH","NBR","A","1995",0,
"CAN","IMMIGINFLOW","OTH","NBR","A","1996",0,
"CAN","IMMIGINFLOW","OTH","NBR","A","1997",0,
"CAN","IMMIGINFLOW","OTH","NBR","A","1998",0,
"CAN","IMMIGINFLOW","OTH","NBR","A","1999",0,
"CAN","IMMIGINFLOW","OTH","NBR","A","2000",0,
"CAN","IMMIGINFLOW","OTH","NBR","A","2001",1,
"CAN","IMMIGINFLOW","OTH","NBR","A","2002",3645,
"CAN","IMMIGINFLOW","OTH","NBR","A","2003",9122,
"CAN","IMMIGINFLOW","OTH","NBR","A","2004",7071,
"CAN","IMMIGINFLOW","OTH","NBR","A","2005",6769,
"CAN","IMMIGINFLOW","OTH","NBR","A","2006",10354,
"CAN","IMMIGINFLOW","OTH","NBR","A","2007",11298,
"CAN","IMMIGINFLOW","OTH","NBR","A","2008",10737,
"CAN","IMMIGINFLOW","OTH","NBR","A","2009",10629,
"CAN","IMMIGINFLOW","OTH","NBR","A","2010",8852,
"CAN","IMMIGINFLOW","OTH","NBR","A","2011",8303,
"CAN","IMMIGINFLOW","OTH","NBR","A","2012",8962,
"CAN","IMMIGINFLOW","OTH","NBR","A","2013",7018,
"CAN","IMMIGINFLOW","OTH","NBR","A","2014",4555,
"CAN","IMMIGINFLOW","OTH","NBR","A","2015",3844,
"CAN","IMMIGINFLOW","OTH","NBR","A","2016",3792,
"CAN","IMMIGINFLOW","OTH","NBR","A","2017",3260,
"CAN","IMMIGINFLOW","OTH","NBR","A","2018",4025,
"CAN","IMMIGINFLOW","OTH","NBR","A","2019",4680,
"CAN","IMMIGINFLOW","WORK","NBR","A","1995",43739,
"CAN","IMMIGINFLOW","WORK","NBR","A","1996",51398,
"CAN","IMMIGINFLOW","WORK","NBR","A","1997",52408,
"CAN","IMMIGINFLOW","WORK","NBR","A","1998",41751,
"CAN","IMMIGINFLOW","WORK","NBR","A","1999",47292,
"CAN","IMMIGINFLOW","WORK","NBR","A","2000",58078,
"CAN","IMMIGINFLOW","WORK","NBR","A","2001",65264,
"CAN","IMMIGINFLOW","WORK","NBR","A","2002",58685,
"CAN","IMMIGINFLOW","WORK","NBR","A","2003",52370,
"CAN","IMMIGINFLOW","WORK","NBR","A","2004",55510,
"CAN","IMMIGINFLOW","WORK","NBR","A","2005",61602,
"CAN","IMMIGINFLOW","WORK","NBR","A","2006",55708,
"CAN","IMMIGINFLOW","WORK","NBR","A","2007",53786,
"CAN","IMMIGINFLOW","WORK","NBR","A","2008",61269,
"CAN","IMMIGINFLOW","WORK","NBR","A","2009",63981,
"CAN","IMMIGINFLOW","WORK","NBR","A","2010",76522,
"CAN","IMMIGINFLOW","WORK","NBR","A","2011",64318,
"CAN","IMMIGINFLOW","WORK","NBR","A","2012",68207,
"CAN","IMMIGINFLOW","WORK","NBR","A","2013",64754,
"CAN","IMMIGINFLOW","WORK","NBR","A","2014",78070,
"CAN","IMMIGINFLOW","WORK","NBR","A","2015",76688,
"CAN","IMMIGINFLOW","WORK","NBR","A","2016",69729,
"CAN","IMMIGINFLOW","WORK","NBR","A","2017",80890,
"CAN","IMMIGINFLOW","WORK","NBR","A","2018",95855,
"CAN","IMMIGINFLOW","WORK","NBR","A","2019",103320,
"DNK","IMMIGINFLOW","FAM","NBR","A","2004",4347,
"DNK","IMMIGINFLOW","FAM","NBR","A","2005",4012,
"DNK","IMMIGINFLOW","FAM","NBR","A","2006",3929,
"DNK","IMMIGINFLOW","FAM","NBR","A","2007",4777,
"DNK","IMMIGINFLOW","FAM","NBR","A","2008",4057,
"DNK","IMMIGINFLOW","FAM","NBR","A","2009",4844,
"DNK","IMMIGINFLOW","FAM","NBR","A","2010",5081,
"DNK","IMMIGINFLOW","FAM","NBR","A","2011",3072,
"DNK","IMMIGINFLOW","FAM","NBR","A","2012",3302,
"DNK","IMMIGINFLOW","FAM","NBR","A","2013",5176,
"DNK","IMMIGINFLOW","FAM","NBR","A","2014",5800,
"DNK","IMMIGINFLOW","FAM","NBR","A","2015",11693,
"DNK","IMMIGINFLOW","FAM","NBR","A","2016",7731,
"DNK","IMMIGINFLOW","FAM","NBR","A","2017",7055,
"DNK","IMMIGINFLOW","FAM","NBR","A","2018",4646,
"DNK","IMMIGINFLOW","FAM","NBR","A","2019",3252,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2004",831,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2005",1141,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2006",1231,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2007",1882,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2008",1990,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2009",1979,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2010",2428,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2011",2683,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2012",2807,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2013",3515,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2014",4190,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2015",3821,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2016",4345,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2017",4640,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2018",5191,
"DNK","IMMIGINFLOW","FAMWORKR","NBR","A","2019",4919,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2004",7292.127,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2005",8123.918,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2006",9777.481,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2007",11493.289,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2008",26415.342,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2009",16907,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2010",17205.537,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2011",18895.346,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2012",21116.065,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2013",22937.763,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2014",26212.231,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2015",27823.837,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2016",27910.875,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2017",29325.999,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2018",30711.519,
"DNK","IMMIGINFLOW","FREEMOVS","NBR","A","2019",29223,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2004",1592,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2005",1147,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2006",1095,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2007",1278,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2008",1453,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2009",1376,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2010",2124,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2011",2249,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2012",2583,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2013",3889,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2014",6104,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2015",10849,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2016",7493,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2017",2750,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2018",1652,
"DNK","IMMIGINFLOW","HUMNTRN","NBR","A","2019",1783,
"DNK","IMMIGINFLOW","OTH","NBR","A","2004",485,
"DNK","IMMIGINFLOW","OTH","NBR","A","2005",349,
"DNK","IMMIGINFLOW","OTH","NBR","A","2006",282,
"DNK","IMMIGINFLOW","OTH","NBR","A","2007",343,
"DNK","IMMIGINFLOW","OTH","NBR","A","2008",329,
"DNK","IMMIGINFLOW","OTH","NBR","A","2009",337,
"DNK","IMMIGINFLOW","OTH","NBR","A","2010",288,
"DNK","IMMIGINFLOW","OTH","NBR","A","2011",318,
"DNK","IMMIGINFLOW","OTH","NBR","A","2012",328,
"DNK","IMMIGINFLOW","OTH","NBR","A","2013",340,
"DNK","IMMIGINFLOW","OTH","NBR","A","2014",443,
"DNK","IMMIGINFLOW","OTH","NBR","A","2015",445,
"DNK","IMMIGINFLOW","OTH","NBR","A","2016",418,
"DNK","IMMIGINFLOW","OTH","NBR","A","2017",735,
"DNK","IMMIGINFLOW","OTH","NBR","A","2018",588,
"DNK","IMMIGINFLOW","OTH","NBR","A","2019",395,
"DNK","IMMIGINFLOW","WORK","NBR","A","2004",2293,
"DNK","IMMIGINFLOW","WORK","NBR","A","2005",2529,
"DNK","IMMIGINFLOW","WORK","NBR","A","2006",3312,
"DNK","IMMIGINFLOW","WORK","NBR","A","2007",5612,
"DNK","IMMIGINFLOW","WORK","NBR","A","2008",5953,
"DNK","IMMIGINFLOW","WORK","NBR","A","2009",6601,
"DNK","IMMIGINFLOW","WORK","NBR","A","2010",8053,
"DNK","IMMIGINFLOW","WORK","NBR","A","2011",6420,
"DNK","IMMIGINFLOW","WORK","NBR","A","2012",5893,
"DNK","IMMIGINFLOW","WORK","NBR","A","2013",7968,
"DNK","IMMIGINFLOW","WORK","NBR","A","2014",7982,
"DNK","IMMIGINFLOW","WORK","NBR","A","2015",7665,
"DNK","IMMIGINFLOW","WORK","NBR","A","2016",8201,
"DNK","IMMIGINFLOW","WORK","NBR","A","2017",7604,
"DNK","IMMIGINFLOW","WORK","NBR","A","2018",8305,
"DNK","IMMIGINFLOW","WORK","NBR","A","2019",8887,
"FIN","IMMIGINFLOW","FAM","NBR","A","2006",4973.885,
"FIN","IMMIGINFLOW","FAM","NBR","A","2007",5769.259,
"FIN","IMMIGINFLOW","FAM","NBR","A","2008",6718.274,
"FIN","IMMIGINFLOW","FAM","NBR","A","2009",6331.544,
"FIN","IMMIGINFLOW","FAM","NBR","A","2010",6238.145,
"FIN","IMMIGINFLOW","FAM","NBR","A","2011",7791.491,
"FIN","IMMIGINFLOW","FAM","NBR","A","2012",8127.292,
"FIN","IMMIGINFLOW","FAM","NBR","A","2013",8879.333,
"FIN","IMMIGINFLOW","FAM","NBR","A","2014",9550.535,
"FIN","IMMIGINFLOW","FAM","NBR","A","2015",8536,
"FIN","IMMIGINFLOW","FAM","NBR","A","2016",8505,
"FIN","IMMIGINFLOW","FAM","NBR","A","2017",9915,
"FIN","IMMIGINFLOW","FAM","NBR","A","2018",10413,
"FIN","IMMIGINFLOW","FAM","NBR","A","2019",11297,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2000",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2001",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2002",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2003",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2004",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2005",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2006",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2007",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2008",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2009",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2010",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2011",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2012",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2013",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2014",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2015",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2016",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2017",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2018",0,
"FIN","IMMIGINFLOW","FAMWORKR","NBR","A","2019",0,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2005",4490,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2006",5368,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2007",6803,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2008",7468,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2009",6472,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2010",7101,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2011",8429,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2012",10299,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2013",10161,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2014",9493,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2015",7624,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2016",7072,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2017",6464,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2018",7037,
"FIN","IMMIGINFLOW","FREEMOVS","NBR","A","2019",6607,
"FIN","IMMIGINFLOW","HUMNTRN","NBR","A","2006",1718.661,
"FIN","IMMIGINFLOW","HUMNTRN","NBR","A","2007",2082.809,
"FIN","IMMIGINFLOW","HUMNTRN","NBR","A","2008",2152.676,
"FIN","IMMIGINFLOW","HUMNTRN","NBR","A","2009",3010.925,
"FIN","IMMIGINFLOW","HUMNTRN","NBR","A","2010",3168.207,
"FIN","IMMIGINFLOW","HUMNTRN","NBR","A","2011",2225.638,
"FIN","IMMIGINFLOW","HUMNTRN","NBR","A","2012",2835.808,
